0.000000000000000000e+00 8.398585021523313765e-02 -3.896821984392517813e-02 1.041371086667442457e-02 -4.814222170003949232e-03 2.618905977291191046e-03 1.459024824733786731e-02 9.831848607568353937e-04 -4.340926113548373229e-04 6.984854801433843527e-04
1.000000000000000056e-01 1.315331900063995696e-01 -6.948811390691306267e-02 3.803679208662466560e-02 1.898739648448455331e-02 -1.025803664063573706e-03 -1.015055300076827226e-02 -8.782609280495696363e-03 -8.296580007830447676e-03 -9.181917540504689126e-03
2.000000000000000111e-01 -2.057739349827668873e-01 -7.661459142793541899e-02 -3.140512941294852645e-02 -3.409900894895795398e-02 -1.351458363021594555e-02 -1.488539771954124069e-02 -1.529172627463467118e-02 -1.734674712101730645e-02 -1.637892234932803934e-02
3.000000000000000444e-01 1.451845708185780376e-02 -5.435990315381752924e-02 -3.115632300859087767e-03 -4.628319445183318864e-02 -1.496115389328146403e-02 -2.650131426297672871e-02 -1.300609199309517988e-02 -1.683845018663065324e-02 -1.893402723842768295e-02
4.000000000000000222e-01 -2.120445563686443602e-01 8.708456293286620520e-03 2.052975018470626703e-02 -4.282834367252991159e-02 -1.821129528168961842e-02 -1.490058476963710549e-02 -2.175947903075425155e-02 -2.201646169210850698e-02 -1.979402003012185537e-02
5.000000000000000000e-01 1.166549993531238311e-01 4.163523886993206885e-02 -7.251172111705078693e-02 -2.379402357903367612e-02 -2.174169444843626620e-02 -2.206620396549021507e-02 -1.544420363165538088e-02 -1.979096140743816581e-02 -2.120535285460982758e-02
6.000000000000000888e-01 -2.480481554464311345e-01 1.025178109117535694e-02 -2.876787460252042822e-02 -1.874935422814640040e-02 -2.135693975589467164e-02 -2.052491777741200299e-02 -1.868704201168430376e-02 -1.912231955352713952e-02 -1.691606373053872181e-02
7.000000000000000666e-01 -1.944222591027408228e-02 2.928286186492318546e-03 -9.554336574660104303e-03 -2.009773356509764880e-02 -2.930865657234396279e-02 -2.017105408248995660e-02 -1.113027902822949847e-02 -1.187422754400751547e-02 -1.029387271980878107e-02
8.000000000000000444e-01 9.972254204498385080e-03 5.648024508210698624e-02 1.712950328968823599e-02 1.051832912406190472e-03 9.374216157796620708e-03 -2.282189988906013940e-03 -1.684728568574145584e-03 -8.087319863249085861e-03 -4.193401992332227921e-03
9.000000000000000222e-01 1.907246838137772182e-01 1.048319877738726827e-02 3.705677305170613361e-02 -3.929126990834599931e-04 1.446610338485842390e-02 9.570281850984355826e-03 6.259764312065053612e-03 7.625317814890092416e-03 5.053764737850515582e-03
